,BTCUSDT_BTCUSDT,BTCUSDT_ETHUSDT,BTCUSDT_ADAUSDT,ETHUSDT_BTCUSDT,ETHUSDT_ETHUSDT,ETHUSDT_ADAUSDT,ADAUSDT_BTCUSDT,ADAUSDT_ETHUSDT,ADAUSDT_ADAUSDT
2019-05-20,65.84524009878486,48.38076269382997,-7.974390422933024,48.38230767385082,22.49253184997077,-31.534232768531677,-8.1066730299519,-31.808631870303145,-89.360690564774
2019-05-21,65.10730823155575,48.04569659295616,-8.490231172637813,48.11419859043993,21.68799193308527,-32.70571246993411,-8.68253753344384,-32.87580450902928,-89.79828239672179
2019-05-22,64.97224790547482,47.709508882738604,-8.332884750906985,47.84804998278656,21.38584832537412,-32.69774524146804,-8.462814149194603,-32.83952427087198,-89.75785916934773
2019-05-23,64.56872740682388,47.55284865052059,-8.301384513269426,47.730386780926146,20.070348765809698,-32.496791441322564,-8.313676316455414,-32.610733343964284,-89.37580606094139
2019-05-24,66.21999643400048,48.04821261528198,-7.743405485803895,47.964101573060844,21.09915719917778,-31.796697187009485,-7.78630894887418,-31.662341396172238,-88.24186220463466
2019-05-25,66.83305073880706,48.23041862594071,-7.758241925409335,48.10776448346947,21.599002143450583,-31.497854796213637,-7.797120712202781,-31.601123327800117,-88.1079414270011
2019-05-26,66.15046066534815,48.31189119440012,-7.427897733828615,48.31870025559527,20.924297803995895,-31.203739735823632,-7.423195766979142,-31.24857781047473,-87.91399564649197
2019-05-27,65.76827219688401,48.09709879364523,-7.05712075081195,48.22792194947236,22.274047961235876,-30.873735768999726,-7.024910937085066,-30.607979715162095,-86.69143758956761
2019-05-28,67.05234313972892,48.52183212480905,-6.528160614140715,48.324853087844275,22.780356687030263,-30.530374181194333,-6.540468714665624,-30.424122604664394,-85.61294312370016
2019-05-29,67.60651582249048,48.940309530687024,-6.267670600768993,48.84722788158623,23.59820919968162,-30.061412662325296,-6.192193320849194,-30.239530065078526,-85.83200747574662
2019-05-30,66.96878705104623,49.15588398706507,-6.229120225092822,48.774036928068824,21.9722507384247,-29.87226905230439,-6.430736719846722,-30.216416366144795,-86.12608562504059
2019-05-31,65.52053548777714,48.32045453627003,-6.539924380068144,48.05411990744742,19.398788959375167,-30.718030221279538,-6.556272557383905,-30.68734738783339,-86.99608865999485
2019-06-08,64.11434313075469,47.04515890575462,-8.633770815907482,47.097354088784996,18.352868017189692,-32.984623108912075,-8.269860529729577,-33.335515382063484,-88.87345953206055
2019-06-09,63.57322297401427,47.23022053917224,-8.563366041371633,47.41292724162366,18.737954412466692,-32.893284860413715,-8.561682322871937,-33.06231009069802,-89.72322907761472
2019-06-10,65.27089356735516,47.41598883232716,-8.369665984686335,47.43744951296563,19.115889689364696,-33.03493572348737,-8.428400508873032,-32.98187736797084,-89.1209436718372
2019-06-11,66.15687290449766,47.430541836991544,-8.44236796311288,47.39664599511969,17.55062218268888,-33.705160336266644,-8.44588107651636,-33.66194182829234,-91.02996862856583
2019-06-12,67.41861248843212,47.15746674946955,-8.557098991287901,47.31717965533369,18.235783485720294,-33.572036738244066,-8.24572190754385,-33.538510667879635,-91.42629026782616
2019-06-13,66.37486745712523,46.90467022472981,-9.371980582505758,47.119731147376,18.93982472335206,-34.47348852141459,-9.317477980208176,-34.37776923843819,-91.95981720901551
2019-06-14,68.49937164605231,47.10172521038321,-9.337391679178396,47.14546909173171,18.19205052062184,-34.1018138903042,-9.601397740690851,-33.867659769155956,-92.88015198800186
2019-06-15,68.39306861142127,47.588266073245634,-9.454222085927377,47.50111762185742,17.87642005656305,-34.706879906210744,-9.232831630876763,-34.752611498098574,-93.5577469484354
2019-06-16,70.79999354842252,48.5960413621633,-8.044273768507264,48.55783262984835,20.165257877456195,-33.6339956520429,-8.02982409310333,-33.6743059961282,-91.76541183973849
2019-06-17,69.88354263350953,48.59842996054183,-7.8601868015062255,48.545487665494115,19.73032222483144,-32.78292226461037,-7.900775808943276,-32.9554222248267,-91.95659372736507
2019-06-18,69.73316159474795,49.18901556694387,-6.974635417778703,48.84543395975769,20.86423017138746,-32.32898230642469,-7.16740496853986,-32.44476801259708,-90.585405042949
2019-06-19,70.67613721192912,49.34754458160469,-6.929138906534873,49.05542766790738,21.616438350894793,-31.500301590143774,-6.671554585282032,-31.875075176313548,-90.72972832505206
2019-06-20,74.4461174856006,51.38984382812864,-4.917767040251666,51.514292243318565,23.60539322189016,-30.345329528332698,-4.905321494523106,-29.79079696541598,-87.7803144480861
2019-06-21,77.53062277763887,53.147659522419744,-3.2807726674226476,53.206168624749594,26.35625246450288,-29.0537774455781,-3.274398421734606,-28.87569469302234,-86.22611838093604
2019-06-22,79.04563345809956,53.95037343037092,-2.5757156774779126,53.829899983169234,26.742362057446158,-28.681695804444487,-2.278783101424054,-28.61348096483197,-85.62471527432473
2019-06-23,79.16803892418376,53.77097954209487,-2.690545210607606,53.695504831969636,26.41534298718085,-28.899859051052122,-3.0190616751725727,-28.782937050234686,-86.80491403620319
2019-06-24,79.9608372007271,54.45189124973385,-2.4550492512768027,54.47703160504008,26.94481548219975,-28.81659640919755,-2.5599330694995484,-28.802739007909054,-87.56213353144595
2019-06-25,80.79602703331872,54.91962891849334,-2.281924282991275,54.92246591235415,27.559723476762333,-28.495527495576223,-2.2062821496992413,-28.575901316923943,-87.321730890825
2019-06-26,81.87516891454155,55.95521584146745,-1.5541576758551017,55.72419998335956,28.774540989200162,-28.198176003060105,-1.469720662605173,-28.014528225309974,-86.19638917149322
2019-06-27,81.45728178088592,54.994231836524804,-2.5582367558548462,55.217431925633385,26.379270494703064,-29.294458894435515,-2.497799767777609,-29.32879090341296,-87.87369721047497
